,issn,counts
0,0014-9446,7287
1,0003-0503,5895
2,0009-9279,5208
3,0065-7727,4514
4,0959-8138,3581
5,0140-6736,3189
6,0307-661X,3062
7,0028-0836,2990
8,0002-8606,2812
9,0002-3264,2339
10,0006-3002,2159
11,0002-7863,1947
12,0028-4793,1732
13,0001-4966,1714
14,0031-3998,1708
15,0021-9606,1700
16,0036-8075,1639
17,0028-7806,1606
18,0098-7484,1583
19,0009-7322,1515
20,0040-4039,1477
21,0013-4651,1465
22,0003-018X,1453
23,0014-4754,1441
24,0021-9525,1441
25,0021-9258,1439
26,0197-016X,1398
27,0022-0345,1395
28,0022-3263,1385
29,0027-8424,1379
30,0108-7673,1360
31,0016-5085,1358
32,0006-3495,1275
33,0030-3941,1266
34,0163-1829,1255
35,0021-8979,1248
36,0004-637X,1216
37,0002-8762,1211
38,0006-291X,1180
39,0028-6729,1161
40,0022-3751,1154
41,0021-9673,1151
42,0042-4900,1149
43,0038-2469,1122
44,0031-9007,1119
45,0085-2538,1117
46,0006-8993,1098
47,0032-0889,1092
48,0038-1098,1091
49,0301-1518,1048
50,0009-2614,1041
51,0108-7681,1033
52,0003-0805,1019
53,0014-5793,1007
54,0004-4059,973
55,0028-6583,964
56,0003-276X,959
57,0556-2821,947
58,0029-554X,940
59,0091-7419,939
60,0009-9147,936
61,0003-8466,927
62,0370-2693,926
63,0006-2960,904
64,0022-1767,890
65,0196-3570,889
66,0002-953X,884
67,0025-729X,882
68,0264-6021,881
69,0022-328X,880
70,0009-2673,879
71,0003-0007,858
72,,847
73,0022-4936,846
74,0367-3294,846
75,0375-9601,832
76,0048-6493,831
78,0001-6756,830
77,0020-1669,830
79,0002-9149,824
80,0044-4537,813
81,0031-6768,809
82,0022-3476,809
83,0031-8965,804
84,0014-2956,796
86,0018-5345,791
85,0008-5472,791
87,0003-6935,790
88,0921-8262,784
89,0003-1488,779
90,0044-460X,777
91,0012-0472,772
92,0021-888X,771
93,0018-4888,763
94,0370-1972,760
95,0027-8378,751
96,0341-3098,748
97,0002-9513,745
98,0820-3946,745
99,0003-6951,743
100,0027-4666,741
101,0008-543X,735
102,0003-0554,718
103,0012-3692,708
104,0021-9193,706
105,0568-5230,703
106,0033-8419,695
107,0001-5504,691
108,0031-9015,690
109,0044-457X,684
110,0003-4819,683
111,0012-5768,679
112,0030-3607,677
113,0556-2813,675
114,0020-4412,674
115,0361-803X,673
116,0004-6361,671
117,0003-2700,670
118,0010-7549,668
119,0003-2697,665
120,0012-0219,665
121,0031-7004,664
122,0032-5791,663
123,0021-4922,660
124,0161-5505,659
125,0009-2363,656
126,0002-9378,656
127,0022-3719,655
128,0011-3891,649
