,id,frac
0,WOS:A1978FV54600117,126.0
1,WOS:A1978FW60600008,103.0
2,WOS:A1978EV31700040,85.0
3,WOS:A1978EP90300642,75.0
4,WOS:A1978EK02600050,71.0
5,WOS:A1978EU89401637,70.0
6,WOS:A1978EW70500022,67.8
7,WOS:A1978EG81500237,67.0
8,WOS:A1978EP04700423,63.0
9,WOS:A1978EH33500016,60.0
10,WOS:A1978FD98400005,58.666666666666664
11,WOS:A1978FA53700033,58.0
12,WOS:A1978FR51900049,57.0
13,WOS:A1978EV37500005,57.0
14,WOS:A1978FB29000003,55.0
15,WOS:A1978FN91500003,55.0
16,WOS:A1978EK60600028,54.0
17,WOS:A1978GE27300182,54.0
18,WOS:A1978GE27300181,54.0
19,WOS:A1978FZ94800026,54.0
20,WOS:A1978FH83800015,54.0
21,WOS:A1978EY06600018,54.0
22,WOS:A1978EM67700084,54.0
23,WOS:A1978EM67700076,54.0
24,WOS:A1978EM67700077,54.0
25,WOS:A1978FB44900007,53.0
26,WOS:A1978GH96300067,53.0
27,WOS:A1978EL64500003,53.0
28,WOS:A1978GH96300092,53.0
29,WOS:A1978EX09700001,53.0
30,WOS:A1978FC70600009,53.0
31,WOS:A1978EX09700016,53.0
32,WOS:A1978GH96300091,53.0
33,WOS:A1978FT91100025,53.0
34,WOS:A1978EG71300011,52.0
35,WOS:A1978FM76100040,51.0
36,WOS:A1978EJ61900001,49.0
37,WOS:A1978ES38400141,48.0
38,WOS:A1978FJ18600004,48.0
39,WOS:A1978FM59000001,48.0
40,WOS:A1978GC25200056,48.0
41,WOS:A1978EP04700849,48.0
42,WOS:A1978FZ79400013,48.0
43,WOS:A1978FJ22100001,48.0
44,WOS:A1978EX18302314,47.0
45,WOS:A1978EX18302337,45.0
46,WOS:A1978ES45401920,45.0
47,WOS:A1978EV11700597,44.0
48,WOS:A1978EU89402087,44.0
49,WOS:A1978FT76200005,44.0
50,WOS:A1978EW70500023,43.5
51,WOS:A1978FQ52800084,43.0
52,WOS:A1978FB63300002,43.0
53,WOS:A1978FQ52800003,43.0
54,WOS:A1978GD76400013,43.0
55,WOS:A1978FV54600564,42.333333333333336
